cartodb_id,the_geom,field_1,uid,feature_name,address,city,state,side,category,group_class,secondary_class_for_internal_use,year_dedicated,school_percent_black,source,notes,latitude,longitude
127,0101000020E61000001B13BDE71B4A57C09F33B3E08F9C4140,,7,Dardanelle Confederate Monument,"NW Corner Of Courthouse Lawn, Near Jct. Of Union And Front Sts.",Dardanelle,AR,South,Monument,Monument,,1921,,National Register of Historic Places / http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_336929&hlterm=confederate,,35.2231408,-93.1579532
200,0101000020E6100000657F4523C4A154C0E12879758E853B40,,8,Judah P. Benjamin Confederate Memorial,Gamble Plantation State Historic Site,Ellenton,FL,South,Monument,Monument,,1925,,http://www.abfla.com/parks/GamblePlantation/gambleplantation.html,,27.521705,-82.5275963
202,0101000020E6100000BEA59C2FF66954C0D0425DFF09553E40,,10,Florida Confederate Soldiers Memorial,Hemming Park,Jacksonville,FL,South,Monument,Monument,,1899,,http://www.scv-kirby-smith.org/confederate_monument__hemming_pa.htm,,30.3321838,-81.655651
306,0101000020E6100000E13B7B78E02955C0F31FD26F5FB34040,,11,Thomas Overby Drive,,Sharpsburg,GA,South,Road / Street / Highway,Highway / Roadway,,Unknown,,,,33.40135,-84.6543256
425,0101000020E61000008C92FC2DA62755C08CBEDDEDD5864340,o,,General Stuart Drive,,Erlanger,KY,Border,Road / Street / Highway,Highway / Roadway,,,,,,39.0534036,-84.6195178
421,0101000020E610000094B0259AF6DB57C0F0E1ED9CC1E74240,,115,Confederate Soldier Shot Monument,City Square,Humboldt,KS,North,Monument,Monument,,Unknown,,http://www.hmdb.org/marker.asp?marker=57465,,37.8105961,-95.4369264
634,0101000020E6100000818C800A471F56C046A1760998583E40,o,,Anderson Road,,Moss Point,MS,South,Road / Street / Highway,Highway / Roadway,,,,,,30.3460699,-88.488711
675,0101000020E61000009929ADBF252156C00FAF905E79764140,,9,Corinth Confederate Memorial,South Cass Street,Corinth,MS,South,Monument,Monument,,1992,,http://www.hmdb.org/marker.asp?marker=37280,,34.9255789,-88.517929
788,0101000020E6100000A614CF343CC153C0EEB5FBB039E14140,,13,Confederate Arsenal,Bradford Avenue,Fayettesville,NC,South,Monument,Monument,,1928,,http://www.waymarking.com/waymarks/WME9J_Arsenal,,35.7595731,-79.0192997
892,0101000020E61000004473F8FFCC8053C0EBFB709010F64340,,6,Confederate Lane,,McConnellsburg,PA,North,Road / Street / Highway,Highway / Roadway,,Unknown,,,,39.9223805,-78.0125122
945,0101000020E6100000390EBC5AEE3554C00F60915F3FD24040,,42,Stonewall Lane,,Saint Matthews,SC,South,Road / Street / Highway,Highway / Roadway,,,,https://lauraneckstein.cartodb.com/viz/49eff522-17b0-11e5-870e-0e4fddd5de28/public_map,,33.642559,-80.842673
1014,0101000020E6100000D19BE50D0B0156C0483140A209084240,o,,Jeff Davis Drive,,Eva,TN,South,Road / Street / Highway,Highway / Roadway,,Unknown,,,,36.062794,-88.0162997
1110,0101000020E6100000DED1B5E5923A59C0D940BAD8B45F4040,,#REF!,Scurry County,,Snyder,TX,South,County,County,,1884,,"https://en.wikipedia.org/wiki/Scurry_County,_Texas",,32.7477065,-100.9152159
1152,0101000020E61000003AE05FA9D3C559C085BAA35A9FDB3F40,,2,East Winkler Street,,Kermit,TX,South,Road / Street / Highway,Highway / Roadway,,Unknown,,,,31.8579003,-103.0910438
1153,0101000020E6100000BBBF304F9D7958C0B54BC054D8C34040,,3,Jefferson Davis Highway,,,TX,,Road / Street / Highway,Highway / Roadway,,,,,,33.5300394,-97.9002264
1174,0101000020E6100000B93A5B9BA19757C01FD61BB5C2454040,,23,Confederate Monument,Old County Courthouse,Marshall,TX,South,Monument,Monument,,1906,,http://keranews.org/post/texas-and-confederacy-primer,http://www.waymarking.com/waymarks/WMER7D_Confederate_Monument_at_Marshall_Texas_Marshall_TX,32.5450045,-94.3692387
1200,0101000020E6100000E344AADED0A558C09681B9CC9F8D4040,,49,Confederate Memorial,Young County Courthouse,Graham,TX,South,Monument / Courthouse,Monument,Courthouse Grounds,1916,,http://www.waymarking.com/waymarks/WM3T85_Memorial_to_the_Confederate_Soldiers_of_Young_County_Graham_TX,,33.1064392,-98.5908734
