"Date","Opponent","Score","Location","Attn","Status","year","manager","result","order"
2014-02-01,"Korea","2-0 W","Carson, CA","27,000","Friendly",2014,"Jurgen Klinsmann","W",1
2014-03-05,"Ukraine","0-2 L","Larnaca, Cyprus","1,573","Friendly",2014,"Jurgen Klinsmann","L",2
2014-04-03,"Mexico","2-2 T","Glendale, AZ","59,066","Friendly",2014,"Jurgen Klinsmann","T",3
2014-05-27,"Azerbaijan","2-0 W","San Francisco","24,688","Friendly",2014,"Jurgen Klinsmann","W",4
2014-06-01,"Turkey","2-1 W","Harrison, NJ","26,762","Friendly",2014,"Jurgen Klinsmann","W",5
2014-06-08,"Nigeria","2-1 W","Jacksonville, FL","52,033","Friendly",2014,"Jurgen Klinsmann","W",6
2014-06-16,"Ghana","1-2 W","Natal, Brazil","39,760","World Cup",2014,"Jurgen Klinsmann","W",7
2014-06-22,"Portugal","2-2 T","Manaus, Brazil","40,123","World Cup",2014,"Jurgen Klinsmann","T",8
2014-06-26,"Germany","1-0 L","Recife, Brazil","41,876","World Cup",2014,"Jurgen Klinsmann","L",9
2014-07-01,"Belgium","2-1 L","Salvador, Brazil","41,227","World Cup",2014,"Jurgen Klinsmann","L",10
2014-09-03,"Czech Republic","0-1 W","Prague","12,642","Friendly",2014,"Jurgen Klinsmann","W",11
2014-10-10,"Ecuador","1-1 T","E Hartford","36,265","Friendly",2014,"Jurgen Klinsmann","T",12
2014-10-14,"Honduras","1-1 T","Boca Raton","14,805","Friendly",2014,"Jurgen Klinsmann","T",13
2014-11-14,"Colombia","2-1 L","London","24,235","Friendly",2014,"Jurgen Klinsmann","L",14
2014-11-18,"Ireland","4-1 L","Dublin","33,332","Friendly",2014,"Jurgen Klinsmann","L",15
2015-01-28,"Chile","2-3 L","Rancagua","12,420","Friendly",2015,"Jurgen Klinsmann","L",16
2015-02-08,"Panama","2-0 W","Carson","20,271","Friendly",2015,"Jurgen Klinsmann","W",17
2015-03-25,"Denmark","3-2 L","Aalborg","10,505","Friendly",2015,"Jurgen Klinsmann","L",18
2015-03-31,"Switzerland","1-1 T","Zurich","16,100","Friendly",2015,"Jurgen Klinsmann","T",19
2015-04-15,"Mexico","2-0 W","San Antonio","64,369","Friendly",2015,"Jurgen Klinsmann","W",20
2015-06-05,"Netherlands","3-4 W","Amsterdam","46,000","Friendly",2015,"Jurgen Klinsmann","W",21
2015-06-10,"Germany","1-2 W","Cologne","40,348","Friendly",2015,"Jurgen Klinsmann","W",22
2015-07-03,"Guatemala","4-0 W","Nashville","44,835","Friendly",2015,"Jurgen Klinsmann","W",23
2015-07-07,"Honduras","2-1 W","Frisco","22,357","Gold Cup",2015,"Jurgen Klinsmann","W",24
2015-07-10,"Haiti","1-0 W","Foxborough","46,720","Gold Cup",2015,"Jurgen Klinsmann","W",25
2015-07-13,"Panama","1-1 T","Kansas City","18,467","Gold Cup",2015,"Jurgen Klinsmann","T",26
2015-07-18,"Cuba","6-0 W","Baltimore","37,994","Gold Cup",2015,"Jurgen Klinsmann","W",27
2015-07-22,"Jamaica","2-1 L","Atlanta","93,236","Gold Cup",2015,"Jurgen Klinsmann","L",28
2015-07-25,"Panama","1-1 L","Chester","12,598","Gold Cup",2015,"Jurgen Klinsmann","L",29
2015-09-04,"Peru","2-1 W","Washington, DC","28,896","Friendly",2015,"Jurgen Klinsmann","W",30
2015-09-08,"Brazil","4-1 L","Foxboroough, MA","29,308","Friendly",2015,"Jurgen Klinsmann","L",31
2015-10-10,"Mexico","3-2 L","Pasadena, CA","93,723","Playoff",2015,"Jurgen Klinsmann","L",32
2015-10-13,"Costa Rica","1-0 L","Harrison, NJ","9,214","Friendly",2015,"Jurgen Klinsmann","L",33
2015-11-14,"St Vincent and the Grenadines","6-1 W","St Louis, MO","43,433","WCQ",2015,"Jurgen Klinsmann","W",34
2015-11-17,"Trinidad & Tobago","0-0 T","Port of Spain","22,809","WCQ",2015,"Jurgen Klinsmann","T",35
2016-01-31,"Iceland","3-2 W","Carson","8,803","Friendly",2016,"Jurgen Klinsmann","W",36
